epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,45564.3,0.70831,1.33613,0.58853,1.0257,0.90819,0.89989,0.95738,0.81923,0.90438,0.89611,0.95093,0.74591,0.57552,1.01056,0.4344,0.87399,0.00928225,0.00928225,0.00928225
31,47122.2,0.70565,1.33267,0.58994,1.02479,0.90959,0.89984,0.95743,0.81968,0.90454,0.89661,0.95092,0.74619,0.57517,1.00941,0.43366,0.87371,0.0092575,0.0092575,0.0092575
32,48680.4,0.70548,1.3316,0.58713,1.02457,0.90962,0.90063,0.95706,0.81952,0.90429,0.89722,0.95073,0.74609,0.57473,1.00788,0.43365,0.87349,0.00923275,0.00923275,0.00923275
33,50240.8,0.70709,1.33004,0.58882,1.02494,0.90912,0.90034,0.95697,0.8196,0.90397,0.89761,0.95106,0.7463,0.57398,1.00664,0.43301,0.87308,0.009208,0.009208,0.009208
34,51800.1,0.70359,1.32824,0.58641,1.02323,0.90876,0.90145,0.957,0.81985,0.90418,0.89793,0.9509,0.74632,0.57352,1.00573,0.43284,0.87263,0.00918325,0.00918325,0.00918325
35,53358.9,0.70365,1.3271,0.5861,1.02355,0.90987,0.90108,0.95739,0.82035,0.90423,0.89787,0.95099,0.74687,0.5732,1.00407,0.4318,0.87262,0.0091585,0.0091585,0.0091585
36,54919.3,0.70334,1.32246,0.5853,1.02394,0.91013,0.90128,0.95759,0.82069,0.90418,0.89893,0.95126,0.74701,0.57271,1.00252,0.4314,0.87246,0.00913375,0.00913375,0.00913375
37,56478.5,0.70385,1.32886,0.58494,1.02412,0.90951,0.90256,0.95787,0.8211,0.90498,0.89917,0.95145,0.74803,0.57206,1.00103,0.4305,0.87217,0.009109,0.009109,0.009109
38,58040.5,0.70121,1.31742,0.5819,1.02181,0.90982,0.90225,0.95783,0.82104,0.90474,0.89954,0.95146,0.74799,0.57168,0.99996,0.4303,0.87193,0.00908425,0.00908425,0.00908425
39,59597.9,0.70173,1.32325,0.58362,1.02339,0.90888,0.90309,0.95785,0.82105,0.90433,0.90028,0.95145,0.74851,0.57107,0.99859,0.42962,0.87157,0.0090595,0.0090595,0.0090595
40,61155,0.70098,1.32339,0.58384,1.02183,0.90818,0.90451,0.95774,0.82095,0.90361,0.90067,0.95096,0.74859,0.57099,0.99705,0.42913,0.87169,0.00903475,0.00903475,0.00903475
41,62714.6,0.7028,1.32262,0.58379,1.02264,0.90882,0.90312,0.95792,0.82107,0.90423,0.89946,0.95104,0.74899,0.57039,0.99658,0.42814,0.87142,0.00901,0.00901,0.00901
42,64271.5,0.70081,1.32184,0.58294,1.02248,0.90774,0.9029,0.95799,0.82134,0.90377,0.89896,0.9511,0.74939,0.57025,0.99537,0.42748,0.87123,0.00898525,0.00898525,0.00898525
43,65841.9,0.70024,1.31834,0.58168,1.02189,0.90765,0.90296,0.95807,0.82153,0.90335,0.89989,0.95129,0.7497,0.56973,0.99478,0.42691,0.87108,0.0089605,0.0089605,0.0089605
44,67429.3,0.7002,1.32236,0.5811,1.0228,0.90728,0.9034,0.9583,0.8221,0.90348,0.90012,0.95201,0.75024,0.56945,0.99313,0.42622,0.87082,0.00893575,0.00893575,0.00893575
45,68988.5,0.69876,1.3139,0.58171,1.02149,0.90602,0.90502,0.95839,0.82247,0.90312,0.90106,0.95196,0.75053,0.56859,0.99213,0.42568,0.8701,0.008911,0.008911,0.008911
46,70569.6,0.69697,1.31339,0.57883,1.02096,0.90747,0.90429,0.95846,0.82255,0.90363,0.90117,0.95212,0.75076,0.56797,0.99111,0.42501,0.86964,0.00888625,0.00888625,0.00888625
47,72166.6,0.69742,1.3121,0.57887,1.02015,0.90761,0.90356,0.95853,0.82287,0.90074,0.90407,0.95204,0.75081,0.56771,0.99012,0.42503,0.86926,0.0088615,0.0088615,0.0088615
48,73760.9,0.69667,1.31301,0.57842,1.02023,0.90716,0.90478,0.95868,0.82312,0.90365,0.90128,0.95218,0.75106,0.56749,0.98881,0.42468,0.86915,0.00883675,0.00883675,0.00883675
49,75353.7,0.69814,1.31588,0.58006,1.02111,0.90665,0.90528,0.95863,0.82334,0.90299,0.90234,0.95213,0.75101,0.56694,0.98798,0.42453,0.86868,0.008812,0.008812,0.008812
50,76912.8,0.69963,1.31435,0.57889,1.02215,0.9069,0.90462,0.95869,0.82342,0.9033,0.90173,0.95221,0.7511,0.56675,0.98731,0.42428,0.86859,0.00878725,0.00878725,0.00878725
51,78433.9,0.69819,1.31083,0.57807,1.02112,0.90728,0.90457,0.95871,0.82326,0.90399,0.90128,0.95231,0.75117,0.56673,0.98656,0.42389,0.86852,0.0087625,0.0087625,0.0087625
52,80014,0.69569,1.30921,0.57642,1.0192,0.90537,0.90657,0.95862,0.82322,0.90187,0.90306,0.9521,0.75159,0.56649,0.98518,0.4237,0.86818,0.00873775,0.00873775,0.00873775
53,81600.4,0.69616,1.31312,0.57937,1.02007,0.90579,0.90729,0.95877,0.8233,0.90218,0.90368,0.95205,0.75133,0.56593,0.98481,0.42347,0.86756,0.008713,0.008713,0.008713
54,83175.6,0.69698,1.30887,0.57681,1.02064,0.90632,0.90658,0.95882,0.82304,0.90293,0.90319,0.95229,0.75152,0.56561,0.9845,0.42341,0.86716,0.00868825,0.00868825,0.00868825
55,84801,0.69518,1.30947,0.5754,1.01968,0.90679,0.90623,0.95879,0.82317,0.90356,0.90301,0.95233,0.75119,0.5657,0.98419,0.42315,0.86743,0.0086635,0.0086635,0.0086635
56,86326.2,0.69552,1.30219,0.57624,1.01944,0.90748,0.90556,0.95871,0.82285,0.90291,0.90306,0.9524,0.751,0.5652,0.98352,0.42318,0.86706,0.00863875,0.00863875,0.00863875
57,87889.6,0.69351,1.30851,0.57602,1.01921,0.90757,0.90534,0.95876,0.82304,0.90278,0.90329,0.95245,0.75117,0.56474,0.98248,0.42336,0.86674,0.008614,0.008614,0.008614
58,89407.2,0.69292,1.30559,0.57571,1.01776,0.90858,0.90482,0.9586,0.8229,0.90396,0.90184,0.95218,0.75096,0.56465,0.98241,0.42332,0.86689,0.00858925,0.00858925,0.00858925
