epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1807.38,0.96636,1.92618,1.01382,1.16093,0.85384,0.81992,0.89027,0.66984,0.84044,0.81236,0.87598,0.60931,0.84697,1.51138,0.76086,1.03981,0.000666514,0.000666514,0.000666514
2,3571.34,0.87233,1.67848,0.76014,1.10913,0.87142,0.85147,0.92276,0.73021,0.86169,0.84196,0.90895,0.65806,0.73826,1.30732,0.61655,0.97628,0.00106921,0.00106921,0.00106921
3,5271.07,0.81743,1.57035,0.70113,1.08293,0.88544,0.87526,0.93893,0.76086,0.87961,0.86664,0.92848,0.68705,0.68486,1.20946,0.54534,0.94329,0.00120791,0.00120791,0.00120791
4,7035.35,0.76494,1.47813,0.65122,1.05779,0.89957,0.88143,0.94471,0.78374,0.89287,0.87746,0.93737,0.70734,0.63769,1.13082,0.50995,0.91447,0.000812,0.000812,0.000812
5,8683.9,0.71096,1.37324,0.59738,1.03198,0.90144,0.8886,0.95076,0.80024,0.8954,0.88399,0.94326,0.72585,0.60931,1.08392,0.47899,0.8961,0.000416,0.000416,0.000416
