epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,13333,0.71128,1.3454,0.59392,1.02716,0.90573,0.89956,0.9565,0.81571,0.90162,0.89599,0.94955,0.74132,0.57988,1.02312,0.44118,0.87637,0.008119,0.008119,0.008119
21,14979.8,0.70843,1.33756,0.59161,1.02634,0.90544,0.90045,0.95677,0.81585,0.90072,0.89711,0.94979,0.74153,0.57903,1.02232,0.4403,0.87581,0.00802,0.00802,0.00802
22,16625.6,0.70626,1.33643,0.58967,1.02575,0.90514,0.90156,0.95688,0.81641,0.89947,0.89818,0.94991,0.74201,0.57853,1.02061,0.4397,0.87546,0.007921,0.007921,0.007921
23,18274,0.7049,1.33585,0.58645,1.02476,0.90504,0.90167,0.95695,0.81712,0.90088,0.89823,0.95,0.74278,0.57761,1.01834,0.43875,0.87478,0.007822,0.007822,0.007822
24,19922.5,0.70287,1.32968,0.58566,1.02326,0.90282,0.90414,0.95703,0.81791,0.89844,0.9003,0.95045,0.74289,0.5768,1.0166,0.4381,0.87413,0.007723,0.007723,0.007723
25,21568.4,0.69942,1.32151,0.58186,1.02219,0.90267,0.90434,0.95716,0.81835,0.89901,0.90067,0.95053,0.74338,0.57589,1.01473,0.43731,0.87356,0.007624,0.007624,0.007624
26,23217.7,0.69804,1.31967,0.57946,1.02078,0.90192,0.90484,0.9575,0.81866,0.89969,0.90045,0.95063,0.74392,0.57499,1.01308,0.43592,0.87293,0.007525,0.007525,0.007525
27,24866.3,0.69683,1.31516,0.5778,1.01951,0.9029,0.90447,0.95753,0.81885,0.89946,0.90102,0.9507,0.74481,0.57419,1.01109,0.43478,0.87222,0.007426,0.007426,0.007426
28,26511.4,0.69656,1.31495,0.57909,1.01971,0.90324,0.90441,0.95732,0.81942,0.9012,0.8999,0.95082,0.74515,0.57302,1.00907,0.43414,0.87128,0.007327,0.007327,0.007327
29,28159.5,0.69344,1.31415,0.57657,1.0193,0.90494,0.90384,0.95739,0.8196,0.90294,0.89967,0.95113,0.74594,0.57201,1.00745,0.43335,0.87053,0.007228,0.007228,0.007228
30,29809.4,0.6937,1.3092,0.57568,1.01897,0.90373,0.90418,0.95746,0.82004,0.90361,0.89828,0.95123,0.74648,0.57147,1.00512,0.43228,0.87008,0.007129,0.007129,0.007129
31,31458.1,0.69095,1.30499,0.57569,1.01743,0.90412,0.90413,0.95758,0.82033,0.90236,0.90051,0.95151,0.74692,0.57046,1.00312,0.43166,0.86937,0.00703,0.00703,0.00703
32,33105.9,0.68964,1.30052,0.57171,1.01625,0.90488,0.90518,0.95796,0.8208,0.90233,0.90073,0.95156,0.74764,0.56939,1.00054,0.43103,0.86832,0.006931,0.006931,0.006931
33,34755,0.68961,1.29695,0.57211,1.01701,0.90421,0.90618,0.9576,0.82114,0.90127,0.90218,0.9514,0.74787,0.56841,0.9986,0.43079,0.86761,0.006832,0.006832,0.006832
34,36403.8,0.68777,1.29814,0.5693,1.01569,0.90311,0.90713,0.95812,0.82159,0.90069,0.90245,0.9516,0.7486,0.56728,0.9968,0.43007,0.86665,0.006733,0.006733,0.006733
35,38052.7,0.68631,1.29372,0.56874,1.01535,0.90445,0.90712,0.95827,0.82215,0.90094,0.90285,0.95188,0.74888,0.56645,0.99504,0.42921,0.86613,0.006634,0.006634,0.006634
36,39701.4,0.68445,1.28919,0.56704,1.01446,0.90484,0.9064,0.95835,0.82296,0.90194,0.90178,0.95203,0.74928,0.56577,0.99342,0.42799,0.8657,0.006535,0.006535,0.006535
37,41348.9,0.68393,1.29473,0.5658,1.0147,0.9057,0.9059,0.95839,0.8233,0.90207,0.90161,0.95192,0.74967,0.56501,0.99177,0.42697,0.86503,0.006436,0.006436,0.006436
38,43001.6,0.68155,1.28151,0.56173,1.01209,0.9051,0.90701,0.9586,0.82362,0.90137,0.90268,0.95225,0.75011,0.56505,0.99077,0.42656,0.86498,0.006337,0.006337,0.006337
39,44649.1,0.68122,1.28509,0.56257,1.01338,0.90643,0.90616,0.95871,0.82417,0.90242,0.90215,0.95233,0.75025,0.56403,0.98845,0.42586,0.86419,0.006238,0.006238,0.006238
40,46303,0.68015,1.28579,0.56225,1.0116,0.90471,0.90924,0.95906,0.82486,0.90176,0.90407,0.9526,0.75104,0.56345,0.98718,0.42517,0.86385,0.006139,0.006139,0.006139
41,47950.3,0.68036,1.28199,0.56244,1.01213,0.90261,0.90974,0.95911,0.82553,0.89913,0.90623,0.95273,0.75131,0.56246,0.98605,0.42432,0.86324,0.00604,0.00604,0.00604
42,49597.2,0.67782,1.27761,0.5619,1.01147,0.90413,0.90846,0.95925,0.82595,0.90098,0.90529,0.95303,0.75218,0.56174,0.98435,0.42341,0.86277,0.005941,0.005941,0.005941
43,51249.9,0.67577,1.27313,0.55875,1.00978,0.90374,0.90902,0.95935,0.82664,0.90139,0.90484,0.95314,0.75273,0.56112,0.98288,0.42264,0.8624,0.005842,0.005842,0.005842
44,52927.9,0.67665,1.2767,0.5578,1.01156,0.9037,0.90963,0.95954,0.82701,0.90142,0.90567,0.95336,0.7529,0.56092,0.9815,0.422,0.86214,0.005743,0.005743,0.005743
45,54569.2,0.67539,1.2688,0.55765,1.01061,0.90303,0.90996,0.95942,0.82744,0.90079,0.90585,0.95335,0.75349,0.56019,0.98024,0.42083,0.86173,0.005644,0.005644,0.005644
46,56209.6,0.67212,1.26514,0.5531,1.00901,0.90307,0.9099,0.95956,0.82782,0.90074,0.90584,0.95362,0.75388,0.55936,0.97886,0.42017,0.86116,0.005545,0.005545,0.005545
47,57850.4,0.67046,1.26133,0.55338,1.00688,0.90319,0.90952,0.95981,0.8284,0.90085,0.9054,0.9538,0.75436,0.55871,0.97752,0.41951,0.86073,0.005446,0.005446,0.005446
48,59493,0.67029,1.26345,0.55131,1.0079,0.90463,0.90896,0.95989,0.8287,0.90172,0.90518,0.95405,0.75484,0.55833,0.97581,0.41889,0.8603,0.005347,0.005347,0.005347
49,61139.6,0.6702,1.26264,0.55148,1.00681,0.9047,0.90862,0.95986,0.82895,0.90229,0.90479,0.95423,0.75538,0.55781,0.97504,0.4185,0.86,0.005248,0.005248,0.005248
50,62784.5,0.66972,1.26003,0.55129,1.00746,0.90467,0.90924,0.96012,0.82947,0.90313,0.90507,0.95438,0.7558,0.55696,0.97335,0.41797,0.85927,0.005149,0.005149,0.005149
51,64432,0.66837,1.25669,0.54962,1.00728,0.90379,0.91007,0.95995,0.82958,0.9007,0.90696,0.95441,0.75608,0.55609,0.97186,0.41759,0.85869,0.00505,0.00505,0.00505
52,66080.1,0.66615,1.25414,0.54634,1.00532,0.90362,0.90924,0.96007,0.82988,0.90035,0.90596,0.95432,0.75656,0.5555,0.97064,0.417,0.8583,0.004951,0.004951,0.004951
53,67724.8,0.66472,1.25256,0.54773,1.00462,0.90321,0.91035,0.96011,0.83013,0.90142,0.90618,0.95452,0.75721,0.55513,0.96938,0.41626,0.85817,0.004852,0.004852,0.004852
54,69373.3,0.66468,1.24811,0.54551,1.0056,0.90408,0.91052,0.9602,0.83011,0.90195,0.90606,0.95443,0.75757,0.55469,0.96837,0.41622,0.85783,0.004753,0.004753,0.004753
55,71021.8,0.66268,1.24556,0.54296,1.0038,0.90642,0.91041,0.96045,0.8305,0.90313,0.90634,0.95446,0.75785,0.55426,0.96718,0.41568,0.85744,0.004654,0.004654,0.004654
56,72669.9,0.66211,1.23972,0.54328,1.00296,0.90589,0.91057,0.96046,0.83064,0.90223,0.9069,0.95465,0.75819,0.55386,0.96616,0.41508,0.85725,0.004555,0.004555,0.004555
57,74316.4,0.65951,1.24327,0.541,1.00252,0.90773,0.90879,0.96055,0.83081,0.9045,0.90395,0.95495,0.75848,0.55304,0.96538,0.41488,0.8566,0.004456,0.004456,0.004456
58,75960.8,0.65735,1.23704,0.53848,1.00059,0.90647,0.91035,0.96068,0.83116,0.90299,0.90596,0.95522,0.75911,0.55269,0.96473,0.41431,0.85631,0.004357,0.004357,0.004357
59,77604.9,0.65685,1.23514,0.53562,1.00095,0.908,0.9094,0.96091,0.83174,0.90462,0.90511,0.95551,0.75954,0.55254,0.96361,0.41371,0.85617,0.004258,0.004258,0.004258
60,79245.2,0.65551,1.23207,0.53584,1.00094,0.9087,0.90774,0.96099,0.83218,0.90562,0.90397,0.95587,0.76036,0.55203,0.96259,0.41314,0.85595,0.004159,0.004159,0.004159
61,80888.6,0.65512,1.23053,0.53557,1.00109,0.90732,0.90918,0.96104,0.83276,0.90785,0.90295,0.95619,0.76134,0.55145,0.96176,0.41259,0.85576,0.00406,0.00406,0.00406
62,82542.7,0.65316,1.22693,0.53351,0.99942,0.90846,0.90845,0.961,0.83302,0.90815,0.9034,0.95607,0.76202,0.55115,0.96094,0.41175,0.85559,0.003961,0.003961,0.003961
63,84183.7,0.65164,1.22428,0.53154,0.9988,0.90956,0.90824,0.96109,0.83342,0.90737,0.90491,0.95607,0.76205,0.55046,0.95962,0.41102,0.85512,0.003862,0.003862,0.003862
64,85825.5,0.65162,1.22023,0.53025,0.99845,0.91133,0.90651,0.96119,0.83357,0.90842,0.90362,0.95613,0.76225,0.55003,0.95873,0.41062,0.85498,0.003763,0.003763,0.003763
65,87468.8,0.65101,1.2229,0.53296,0.99798,0.91114,0.90674,0.96128,0.83377,0.90936,0.90334,0.95616,0.76277,0.54957,0.95801,0.41017,0.85452,0.003664,0.003664,0.003664
66,89111.8,0.64751,1.21777,0.5273,0.99633,0.91239,0.90579,0.96146,0.83418,0.90946,0.90334,0.95641,0.76293,0.54941,0.95734,0.40951,0.85448,0.003565,0.003565,0.003565
67,90757.6,0.64693,1.21441,0.52444,0.99637,0.91323,0.90612,0.96157,0.83462,0.9092,0.90384,0.95674,0.76349,0.54928,0.95601,0.40874,0.85451,0.003466,0.003466,0.003466
68,92404.9,0.64538,1.2097,0.52597,0.99549,0.91404,0.90539,0.96182,0.83508,0.91089,0.90323,0.9571,0.76405,0.54873,0.95487,0.40796,0.85396,0.003367,0.003367,0.003367
69,94051,0.64353,1.20808,0.52196,0.99398,0.91476,0.90468,0.96192,0.83514,0.91237,0.9019,0.95724,0.76434,0.54783,0.95336,0.40748,0.85331,0.003268,0.003268,0.003268
70,95694.9,0.64298,1.20805,0.52194,0.99432,0.91416,0.90556,0.96207,0.83557,0.91133,0.90429,0.95763,0.76493,0.54725,0.95195,0.40703,0.853,0.003169,0.003169,0.003169
71,97342.3,0.64192,1.20171,0.51996,0.99381,0.91402,0.90629,0.96227,0.83585,0.91056,0.9049,0.95786,0.76546,0.54688,0.95057,0.40639,0.85262,0.00307,0.00307,0.00307
72,98986.7,0.63947,1.20103,0.51942,0.99281,0.91288,0.90739,0.96231,0.83636,0.91037,0.90489,0.95804,0.76603,0.5462,0.94954,0.40578,0.85209,0.002971,0.002971,0.002971
73,100635,0.63674,1.19461,0.51645,0.99041,0.91387,0.90641,0.96242,0.83684,0.91141,0.90396,0.95809,0.76686,0.54576,0.94799,0.40533,0.85172,0.002872,0.002872,0.002872
74,102283,0.63746,1.1953,0.51676,0.99189,0.91465,0.9059,0.96253,0.83739,0.9119,0.90318,0.9583,0.76731,0.54531,0.94708,0.4046,0.85142,0.002773,0.002773,0.002773
75,103929,0.63387,1.18592,0.51515,0.98949,0.91487,0.90668,0.96262,0.83762,0.91212,0.90396,0.95839,0.76736,0.54476,0.94626,0.40406,0.8512,0.002674,0.002674,0.002674
76,105577,0.63164,1.18295,0.51028,0.98941,0.91579,0.90673,0.96275,0.83804,0.91251,0.90445,0.9586,0.76796,0.54424,0.94549,0.40371,0.85071,0.002575,0.002575,0.002575
77,107224,0.63042,1.18519,0.50771,0.98808,0.9152,0.90863,0.96274,0.83814,0.91177,0.90573,0.95888,0.76807,0.544,0.94485,0.40295,0.85067,0.002476,0.002476,0.002476
78,108871,0.63007,1.18032,0.5081,0.98887,0.91594,0.90835,0.96289,0.83834,0.91242,0.90562,0.9589,0.76818,0.54319,0.94374,0.40239,0.85012,0.002377,0.002377,0.002377
79,110519,0.62648,1.1752,0.50619,0.98681,0.91556,0.90929,0.96291,0.83869,0.91259,0.90635,0.95909,0.76868,0.54277,0.94288,0.40215,0.84993,0.002278,0.002278,0.002278
80,112167,0.6253,1.17158,0.50421,0.98504,0.91484,0.91068,0.96308,0.83887,0.9132,0.90579,0.95898,0.76883,0.54219,0.94218,0.40165,0.84956,0.002179,0.002179,0.002179
81,113815,0.62522,1.17393,0.50338,0.98616,0.91515,0.90946,0.96305,0.83905,0.91269,0.90651,0.95916,0.76906,0.54201,0.94154,0.40136,0.84953,0.00208,0.00208,0.00208
82,115465,0.62188,1.16457,0.5022,0.9846,0.91542,0.90907,0.96326,0.8393,0.9132,0.90569,0.95911,0.76911,0.54175,0.94063,0.40102,0.84924,0.001981,0.001981,0.001981
83,117113,0.61925,1.16052,0.49757,0.98307,0.91745,0.90796,0.96323,0.83942,0.91419,0.90601,0.95918,0.76953,0.54119,0.93956,0.40098,0.84886,0.001882,0.001882,0.001882
84,118763,0.61889,1.15666,0.49517,0.98253,0.91674,0.9089,0.96339,0.84006,0.91422,0.9064,0.95933,0.76974,0.54072,0.93873,0.40048,0.84846,0.001783,0.001783,0.001783
85,120412,0.61636,1.15095,0.49315,0.98168,0.91803,0.90818,0.96353,0.84025,0.91497,0.90603,0.95944,0.76989,0.54043,0.93761,0.40004,0.84823,0.001684,0.001684,0.001684
86,122062,0.61423,1.1493,0.48989,0.98029,0.91916,0.90735,0.96369,0.84043,0.91586,0.90573,0.95953,0.77036,0.53972,0.93688,0.39951,0.84759,0.001585,0.001585,0.001585
87,123711,0.61235,1.1434,0.48691,0.97864,0.91871,0.90774,0.96363,0.84072,0.91623,0.90575,0.95961,0.77058,0.53943,0.9364,0.39883,0.84728,0.001486,0.001486,0.001486
88,125360,0.6098,1.14082,0.48527,0.97832,0.9191,0.90673,0.96371,0.84118,0.91665,0.90462,0.95977,0.77109,0.53894,0.93567,0.39833,0.84699,0.001387,0.001387,0.001387
89,127009,0.60783,1.13671,0.48421,0.97698,0.91897,0.90703,0.96373,0.84151,0.91639,0.9054,0.96009,0.77118,0.5385,0.93489,0.39807,0.84658,0.001288,0.001288,0.001288
90,128658,0.60597,1.13325,0.47986,0.97708,0.9206,0.90657,0.96392,0.84158,0.91703,0.90486,0.96002,0.77133,0.53811,0.93424,0.39757,0.84635,0.001189,0.001189,0.001189
91,130187,0.55718,0.97267,0.40895,0.97466,0.91968,0.90685,0.96382,0.8424,0.91675,0.90396,0.96005,0.77185,0.5378,0.93461,0.39727,0.84632,0.00109,0.00109,0.00109
92,131716,0.5522,0.96274,0.40518,0.97365,0.9199,0.90707,0.96402,0.84272,0.91697,0.90418,0.96019,0.77271,0.53725,0.93404,0.39667,0.84594,0.000991,0.000991,0.000991
93,133241,0.54776,0.95403,0.3988,0.97178,0.91979,0.90768,0.96416,0.84344,0.91687,0.90413,0.96015,0.77313,0.53679,0.93363,0.3962,0.84567,0.000892,0.000892,0.000892
94,134770,0.54302,0.94647,0.39209,0.96776,0.92051,0.90741,0.96417,0.84375,0.91762,0.90457,0.96036,0.77309,0.53657,0.93344,0.39564,0.84554,0.000793,0.000793,0.000793
95,136300,0.53755,0.93797,0.38846,0.96427,0.92084,0.90707,0.96428,0.84412,0.91695,0.90468,0.96022,0.77345,0.53616,0.93288,0.39556,0.84521,0.000694,0.000694,0.000694
96,137831,0.53427,0.93268,0.38506,0.96244,0.92009,0.90803,0.96424,0.84436,0.91677,0.90507,0.96001,0.77347,0.53582,0.9326,0.39561,0.84498,0.000595,0.000595,0.000595
97,139366,0.53047,0.92648,0.38198,0.96056,0.92,0.90876,0.96413,0.84478,0.91656,0.90598,0.96022,0.77368,0.53557,0.93245,0.39521,0.84491,0.000496,0.000496,0.000496
98,140895,0.52671,0.92138,0.37562,0.95774,0.92064,0.90843,0.96422,0.84508,0.91743,0.90526,0.96013,0.77356,0.53518,0.93221,0.39486,0.84471,0.000397,0.000397,0.000397
99,142429,0.5236,0.91439,0.37085,0.95638,0.92074,0.90894,0.96418,0.84496,0.91799,0.90557,0.96009,0.77355,0.53506,0.9325,0.39453,0.84482,0.000298,0.000298,0.000298
100,143963,0.51971,0.90909,0.36521,0.9537,0.92137,0.90818,0.96414,0.8452,0.91867,0.90551,0.96008,0.7736,0.53492,0.933,0.3948,0.8447,0.000199,0.000199,0.000199
