epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1702.37,0.95265,1.97842,1.25398,1.1516,0.85516,0.85173,0.90598,0.69112,0.8478,0.83982,0.89039,0.62403,0.79465,1.43158,0.77499,1.00518,0.00333257,0.00333257,0.00333257
2,3336.78,0.87338,1.67064,0.83071,1.09786,0.86934,0.85985,0.92053,0.71803,0.85855,0.84917,0.90662,0.65019,0.76898,1.32221,0.64919,0.99817,0.00659991,0.00659991,0.00659991
3,5025.4,0.89129,1.68689,0.80174,1.11189,0.88483,0.85396,0.92761,0.73387,0.87747,0.84617,0.91354,0.66142,0.72876,1.31051,0.60578,0.98044,0.00980125,0.00980125,0.00980125
4,6700.53,0.86685,1.65256,0.76273,1.10437,0.88318,0.87247,0.93473,0.75632,0.87492,0.86597,0.92466,0.68333,0.68518,1.2162,0.56295,0.94648,0.009703,0.009703,0.009703
5,8385.26,0.81735,1.55578,0.70607,1.08006,0.89282,0.87509,0.94272,0.77541,0.88475,0.87237,0.9331,0.70338,0.6505,1.1595,0.52128,0.92595,0.009604,0.009604,0.009604
6,-9690.24,0.79428,1.50999,0.6815,1.06969,0.89368,0.88635,0.94707,0.78662,0.88844,0.88229,0.93888,0.71054,0.63678,1.12031,0.49444,0.91398,0.009505,0.009505,0.009505
7,-8013.87,0.77736,1.47687,0.66612,1.06055,0.8983,0.88694,0.94967,0.79514,0.89362,0.88232,0.94218,0.72064,0.61925,1.10019,0.47831,0.90375,0.009406,0.009406,0.009406
8,-6310.37,0.76302,1.4506,0.65097,1.05443,0.89677,0.89133,0.95088,0.79929,0.89358,0.88671,0.94346,0.72582,0.61015,1.08075,0.4744,0.89894,0.009307,0.009307,0.009307
9,-4632.3,0.75422,1.43781,0.64059,1.05048,0.89435,0.89634,0.95197,0.803,0.8919,0.89197,0.9448,0.72874,0.60267,1.06778,0.46479,0.89308,0.009208,0.009208,0.009208
10,-3006.31,0.74577,1.41737,0.6299,1.04462,0.90331,0.89161,0.95259,0.80541,0.89988,0.88822,0.94562,0.73109,0.60026,1.05823,0.45886,0.89171,0.009109,0.009109,0.009109
11,-1376.51,0.74186,1.40899,0.62628,1.04345,0.90373,0.89223,0.95327,0.80784,0.90075,0.88788,0.94686,0.73335,0.59588,1.05128,0.45538,0.88781,0.00901,0.00901,0.00901
12,250.217,0.73409,1.39196,0.61904,1.03835,0.9018,0.896,0.95383,0.80936,0.89849,0.89211,0.94687,0.73516,0.59238,1.04615,0.45243,0.88546,0.008911,0.008911,0.008911
13,1880.35,0.72875,1.38383,0.61246,1.03657,0.90166,0.89661,0.95412,0.81038,0.8979,0.89422,0.94746,0.73607,0.58897,1.04138,0.45063,0.88281,0.008812,0.008812,0.008812
14,3494.9,0.72631,1.37968,0.61073,1.03544,0.90452,0.89517,0.95435,0.81138,0.8986,0.89502,0.94812,0.73714,0.58738,1.03846,0.4489,0.88201,0.008713,0.008713,0.008713
15,5116.58,0.72213,1.37109,0.60757,1.03229,0.90381,0.8978,0.95489,0.81289,0.8999,0.89461,0.94866,0.73852,0.58565,1.03488,0.44676,0.88083,0.008614,0.008614,0.008614
16,6750.26,0.71986,1.36527,0.60279,1.03179,0.90526,0.89884,0.95546,0.81345,0.90134,0.89494,0.94897,0.73935,0.58425,1.03265,0.44567,0.8793,0.008515,0.008515,0.008515
17,8385.29,0.71664,1.36061,0.60115,1.03075,0.90599,0.89825,0.95571,0.81397,0.90157,0.89503,0.94921,0.73973,0.5827,1.02948,0.4443,0.87837,0.008416,0.008416,0.008416
18,10036.6,0.7143,1.35003,0.59943,1.02909,0.90494,0.89892,0.95608,0.81455,0.90036,0.8965,0.94941,0.74034,0.58154,1.02716,0.44292,0.87755,0.008317,0.008317,0.008317
19,11684.7,0.71231,1.34883,0.59535,1.02849,0.90566,0.89909,0.95625,0.81523,0.90041,0.897,0.94948,0.74102,0.58075,1.0251,0.44197,0.87708,0.008218,0.008218,0.008218
